,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12,0.8131592750549317,0.02234837570296085,0.25219001770019533,0.0057002392262769,0.5,sigmoid,0.001,"{'C': 0.5, 'kernel': 'sigmoid', 'tol': 0.001}",0.5692652832305104,0.5659001682557487,0.5731912507010656,0.5283230510375772,0.5283230510375772,55.30005608524958,0.02028084812370478,39
13,0.8001363754272461,0.02044451350652122,0.24640254974365233,0.0047784464103877815,0.5,sigmoid,0.01,"{'C': 0.5, 'kernel': 'sigmoid', 'tol': 0.01}",0.569826135726304,0.5653393157599551,0.5731912507010656,0.5288839035333707,0.5277621985417835,55.30005608524958,0.020305648925540452,39
14,0.5156647682189941,0.011535179884961186,0.14412140846252441,0.0051012530706016305,0.5,poly,0.001,"{'C': 0.5, 'kernel': 'poly', 'tol': 0.001}",0.7560291643297813,0.7616376892877174,0.7694896242288278,0.7711721817162086,0.7689287717330342,76.54514862591138,0.005734973878256502,19
15,0.49769792556762693,0.013229864278758963,0.1433493137359619,0.002692953560147138,0.5,poly,0.01,"{'C': 0.5, 'kernel': 'poly', 'tol': 0.01}",0.754907459338194,0.7616376892877174,0.7694896242288278,0.770611329220415,0.7694896242288278,76.52271452607964,0.006077943773031548,20
16,0.7764918327331543,0.028605326603326615,0.14079408645629882,0.0020092535514519387,1,linear,0.001,"{'C': 1, 'kernel': 'linear', 'tol': 0.001}",0.7139652271452608,0.736399326977005,0.7425687044307347,0.7291082445316882,0.7302299495232754,73.04542905215928,0.009548338730243609,28
17,0.7433165550231934,0.014781630799897456,0.140488338470459,0.001346074942294821,1,linear,0.01,"{'C': 1, 'kernel': 'linear', 'tol': 0.01}",0.7145260796410544,0.736399326977005,0.7420078519349411,0.7291082445316882,0.7313516545148626,73.06786315199103,0.009218477088639081,25
18,0.5824049472808838,0.010476324779221861,0.6197614192962646,0.005928598408886051,1,rbf,0.001,"{'C': 1, 'kernel': 'rbf', 'tol': 0.001}",0.7790241166573191,0.783510936623668,0.7868760515984297,0.7986539540100953,0.7919237240605721,78.7997756590017,0.00679534771996005,11
19,0.5483351707458496,0.008782611662402257,0.6148693084716796,0.010516364156583668,1,rbf,0.01,"{'C': 1, 'kernel': 'rbf', 'tol': 0.01}",0.7790241166573191,0.7840717891194616,0.7868760515984297,0.7986539540100953,0.7913628715647785,78.79977565900168,0.006664475951772491,12
20,0.7469274997711182,0.012305703028034121,0.2410191059112549,0.009523240170007325,1,sigmoid,0.001,"{'C': 1, 'kernel': 'sigmoid', 'tol': 0.001}",0.5653393157599551,0.5530005608524958,0.5703869882220975,0.5182277061132922,0.5165451486259114,54.46999439147504,0.023013822059505095,44
21,0.715339183807373,0.00723337202584869,0.22846779823303223,0.00702907766981156,1,sigmoid,0.01,"{'C': 1, 'kernel': 'sigmoid', 'tol': 0.01}",0.5659001682557487,0.5530005608524958,0.5703869882220975,0.5187885586090858,0.5165451486259114,54.49242849130679,0.022987016947402603,43
22,0.513241195678711,0.016826958867402073,0.14115524291992188,0.0049108858486356655,1,poly,0.001,"{'C': 1, 'kernel': 'poly', 'tol': 0.001}",0.7683679192372406,0.773415591699383,0.7812675266404936,0.7829500841278744,0.7773415591699383,77.66685361749859,0.005301762107951331,16
23,0.49908862113952634,0.0031058963634727843,0.1415329933166504,0.0011523066316988287,1,poly,0.01,"{'C': 1, 'kernel': 'poly', 'tol': 0.01}",0.767807066741447,0.773415591699383,0.7823892316320807,0.783510936623668,0.7773415591699383,77.68928771733034,0.005811254670550128,15
24,0.9617698192596436,0.023330682813340903,0.13948297500610352,0.003372394961722567,2,linear,0.001,"{'C': 2, 'kernel': 'linear', 'tol': 0.001}",0.7134043746494672,0.7358384744812114,0.7431295569265284,0.7285473920358946,0.7319125070106562,73.05664610207516,0.009859525269027836,27
25,0.9502456665039063,0.025807452418215387,0.14017848968505858,0.004160014673704758,2,linear,0.01,"{'C': 2, 'kernel': 'linear', 'tol': 0.01}",0.7139652271452608,0.7358384744812114,0.7431295569265284,0.7291082445316882,0.7313516545148626,73.06786315199103,0.009632304852957279,25
26,0.5696811676025391,0.013292006781466035,0.5695033073425293,0.01270118995830785,2,rbf,0.001,"{'C': 2, 'kernel': 'rbf', 'tol': 0.001}",0.7829500841278744,0.7936062815479529,0.8008973639932697,0.8042624789680314,0.7964105440269209,79.56253505328098,0.007317781909276527,7
